date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
2/1/2021,RI,2173,,5,,8296,8296,316,117,,47,628794,975,,,2407225,,29,115956,,249,0,,,,,138279,,2545504,6710,2545504,6710,,,,,744750,1224,,0,
2/1/2021,SC,7283,6564,241,719,18113,18113,1842,23,,391,3812877,28738,99396,,3701596,,240,445916,398892,2530,0,22421,88101,,,510173,197810,,0,4258793,31268,121817,662554,,,,0,4211769,30918,
2/1/2021,SD,1778,,0,,6294,6294,126,4,,27,294568,205,,,,,20,108315,96735,65,0,,,,,102120,103709,,0,652087,974,,,,,402883,270,652087,974,
2/1/2021,TN,9753,7975,103,1778,17172,17172,1682,52,,447,,0,,,5624287,,253,729187,618319,1326,0,,121133,,,712703,685162,,0,6336990,9606,,905061,,,,0,6336990,9606,
2/1/2021,TX,36539,,48,,,,11074,0,,3111,,0,,,,,,2392443,2087170,31811,0,124863,167830,,,2362669,1974572,,0,17504358,105238,924087,1819443,,,,0,17504358,105238,
2/1/2021,UT,1668,,3,,13515,13515,488,47,2115,129,1438206,2738,,,2289501,731,,347208,,584,0,,50888,,48785,324317,307848,,0,2613818,6460,,733183,,292128,1736035,3309,2613818,6460,
2/1/2021,VA,6474,5666,10,808,21444,21444,2446,35,,478,,0,,,,,304,507640,406591,2861,0,22977,103381,,,500306,,5261801,27646,5261801,27646,208424,1064820,,,,0,,0,
2/1/2021,VI,24,,0,,,,,0,,,39454,364,,,,,,2421,,23,0,,,,,,2306,,0,41875,387,,,,,41968,381,,0,
2/1/2021,VT,175,,1,,,,67,0,,6,293874,1826,,,,,,12083,11775,118,0,,,,,,8268,,0,908823,11472,,,,,305649,1938,908823,11472,
2/1/2021,WA,4285,,0,,17706,17706,797,0,,193,,0,,,,,88,311597,297513,0,0,,,,,,,4548239,0,4548239,0,,,,,,0,,0,
2/1/2021,WI,6436,5897,2,539,24337,24337,697,39,2181,168,2510670,3070,,,,,,592921,543165,781,0,,,,,,518801,6160773,-16802,6160773,-16802,,,,,3053835,3820,,0,
2/1/2021,WV,2028,1735,4,293,,,438,0,,118,,0,,,,,48,121425,97374,424,0,,,,,,98782,,0,1925306,5006,30598,,,,,0,1925306,5006,
2/1/2021,WY,596,,0,,1289,1289,53,5,,,173379,922,,,605608,,,52057,44454,145,0,,,,,46137,50317,,0,651791,16806,,,,,217833,1260,651791,16806,
1/1/2021,AK,206,206,0,,1023,1023,79,0,,,,0,,,1219592,,6,45461,,0,0,,,,,54763,,,0,1275750,0,,,,,,0,1275750,0,
1/1/2021,AL,4872,4254,45,618,34373,34373,2815,189,2440,,1590750,7331,,,,1398,,365747,294466,4521,0,,,,,,202137,,0,1885216,11216,,,87982,,1885216,11216,,0,
1/1/2021,AR,3711,3106,35,605,11450,11450,1185,92,,398,1878515,13811,,,1878515,1230,205,229442,189569,4304,0,,,,47452,,201774,,0,2068084,16596,,,,249911,,0,2068084,16596,
1/1/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0,
1/1/2021,AZ,9015,8128,151,887,38846,38846,4501,1589,,1072,2375070,35435,,,,,759,530267,503798,10060,0,,,,,,,,0,5155330,95560,493757,,391040,,2878868,44116,5155330,95560,
1/1/2021,CA,25971,,585,,,,21433,0,,4618,,0,,,,,,2292568,2292568,47189,0,,,,,,,,0,33058311,202829,,,,,,0,33058311,202829,
1/1/2021,CO,4873,4221,59,652,18651,18651,1044,53,,,1822467,6898,249633,,,,,337161,322944,3064,0,31022,,,,,,4444206,37539,4444206,37539,283018,,,,2145411,9821,,0,
1/1/2021,CT,5995,4854,0,1141,,,1136,0,,,,0,,,4361730,,,185708,174679,0,0,,9121,,,225168,,,0,4593460,28386,,132201,,,,0,4593460,28386,
1/1/2021,DC,788,,2,,,,226,0,,63,,0,,,,,31,29252,,269,0,,,,,,20941,904302,6863,904302,6863,,,,,358551,1413,,0,
1/1/2021,DE,930,828,4,102,,,412,0,,58,453860,1231,,,,,,58064,55670,608,0,,,,,59741,,984606,6402,984606,6402,,,,,511924,1839,,0,
1/1/2021,FL,21990,,0,,63741,63741,6454,0,,,7405064,0,578113,560932,12286661,,,1300528,1117552,0,0,71851,,69600,,1692583,,15703599,0,15703599,0,650372,,630838,,8705592,0,14041159,0,
1/1/2021,GA,10958,9889,24,1069,42362,42362,4890,278,7448,,,0,,,,,,677589,575395,11137,0,46536,,,,549842,,,0,5401054,51664,404968,,,,,0,5401054,51664,
1/1/2021,GU,122,,0,,,,13,0,,3,88875,0,,,,,2,7326,7148,9,0,17,239,,,,7047,,0,96201,9,325,5645,,,,0,96014,0,
1/1/2021,HI,289,289,1,,1775,1775,86,7,,11,,0,,,,,9,22120,21638,288,0,,,,,21470,,816811,4473,816811,4473,,,,,,0,,0,
1/1/2021,IA,3898,,7,,,,575,0,,117,933640,1594,,78084,1956842,,63,240766,240766,1593,0,,44622,9050,41898,260753,241229,,0,1174406,3187,,867217,87174,183464,1176651,3184,2228904,10751,
1/1/2021,ID,1436,1269,33,167,5630,5630,375,63,1018,85,428768,1350,,,,,,141077,116717,1213,0,,,,,,58649,,0,545485,2217,,52274,,,545485,2217,859851,4284,
1/1/2021,IL,18173,16647,195,1526,,,3992,0,,808,,0,,,,,464,970590,,7201,0,,,,,,,,0,13374665,97222,,,,,,0,13374665,97222,
1/1/2021,IN,8371,8016,108,355,35210,35210,2786,211,6194,676,2132191,6981,,,,,348,517773,,6288,0,,,,,589048,,,0,5730043,48333,,,,,2649964,13269,5730043,48333,
